video_id,title,description,channel_id,channel_title,published_at,view_count,like_count,comment_count,engagement_rate,subscriber_count,is_trending,duration,tags,hashtags,sentiment_score,sample_comment,collected_at,collection_method
45a7480bbd8,Neutrogena Skincare Routine #1 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_1299,BeautyRoutineDaily,2025-10-21T08:18:08.020245,239804,11884,326,5.09,495709,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.8,This is my holy grail product now,2025-10-25T08:18:08.020262,mock
517c59404f5,Neutrogena Skincare Routine #2 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_2593,ClearSkinJourney,2025-09-05T08:18:08.020273,212949,13607,533,6.64,493702,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.5,This is my holy grail product now,2025-10-25T08:18:08.020282,mock
da15c418590,Neutrogena Skincare Routine #3 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_5631,GlowingSkinTips,2025-10-17T08:18:08.020290,226946,12366,402,5.63,40792,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.2,How long did it take to see results?,2025-10-25T08:18:08.020295,mock
9975ce8b2bc,Neutrogena Skincare Routine #4 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_7981,GlowingSkinTips,2025-08-21T08:18:08.020302,116912,5083,504,4.78,235630,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.2,How long did it take to see results?,2025-10-25T08:18:08.020306,mock
a646c5bc35f,Neutrogena Skincare Routine #5 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_5798,BeautyRoutineDaily,2025-08-03T08:18:08.020311,112334,8552,401,7.97,380102,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.6,Love this! The price point is amazing too,2025-10-25T08:18:08.020315,mock
5b13b55327a,Neutrogena Skincare Routine #6 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_5671,GlowingSkinTips,2025-09-07T08:18:08.020320,211346,6461,365,3.23,10888,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.4,My dermatologist recommended this and it works!,2025-10-25T08:18:08.020323,mock
55461f991f0,Neutrogena Skincare Routine #7 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_7121,SkincareByCassandra,2025-09-22T08:18:08.020328,107114,7209,118,6.84,138945,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.6,Been using this for 2 weeks and already seeing results,2025-10-25T08:18:08.020332,mock
d91c6bcef6b,Neutrogena Skincare Routine #8 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_8857,BeautyRoutineDaily,2025-09-29T08:18:08.020343,199825,10063,680,5.38,287783,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.5,This product changed my skin! So glad I tried it,2025-10-25T08:18:08.020350,mock
6e165f881fc,Neutrogena Skincare Routine #9 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_9394,BeautyRoutineDaily,2025-09-16T08:18:08.020358,108592,4376,187,4.2,419865,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.5,Where can I buy this?,2025-10-25T08:18:08.020362,mock
56be341b4dd,Neutrogena Skincare Routine #10 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_8985,DermatologyExperts,2025-10-11T08:18:08.020367,225240,9398,765,4.51,495531,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.8,Been using this for 2 weeks and already seeing results,2025-10-25T08:18:08.020371,mock
6ad334ff995,Neutrogena Skincare Routine #11 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_4293,ClearSkinJourney,2025-08-04T08:18:08.020376,116885,5878,577,5.52,486374,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.4,My dermatologist recommended this and it works!,2025-10-25T08:18:08.020379,mock
1175d2e8cd8,Neutrogena Skincare Routine #12 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_6914,BeautyRoutineDaily,2025-09-14T08:18:08.020383,248527,11698,528,4.92,170071,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.4,Been using this for 2 weeks and already seeing results,2025-10-25T08:18:08.020387,mock
b704b3e4acd,Neutrogena Skincare Routine #13 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_7860,DermatologyExperts,2025-09-23T08:18:08.020391,109946,5196,284,4.98,160803,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.5,My dermatologist recommended this and it works!,2025-10-25T08:18:08.020394,mock
b8862226949,Neutrogena Skincare Routine #14 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_9776,BeautyRoutineDaily,2025-08-08T08:18:08.020398,224739,9065,556,4.28,306667,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.3,How long did it take to see results?,2025-10-25T08:18:08.020401,mock
a3664268d17,Neutrogena Skincare Routine #15 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_9683,GlowingSkinTips,2025-10-18T08:18:08.020406,205126,10860,397,5.49,99375,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.1,How long did it take to see results?,2025-10-25T08:18:08.020409,mock
ecb940b920c,Neutrogena Skincare Routine #16 - Dermatologist Approved,My neutrogena routine that cleared my skin! #skincare #neutrogena #neutrogena,channel_8702,ClearSkinJourney,2025-08-10T08:18:08.020416,202780,13895,329,7.01,436972,True,PT45S,neutrogena|skincare|beauty|neutrogena,skincare|neutrogena|neutrogena|beauty,0.2,My dermatologist recommended this and it works!,2025-10-25T08:18:08.020419,mock
